"High School summer academy focused on STEM","Pre-college summer academy focused on STEM ","Pre-college Summer Bridge program","College career services (informational, resource focused)","College career counseling services (individual guidance)","Academic support/coaching services (e.g. study strategies, time management, test preparation)","Study partners (peer tutoring) program","Learning communities","Financial aid or loan options","Supplemental Instruction (SI)/ review sessions","Research internships in STEM","Study abroad programs","Services for students with disabilities","Graduate school career fairs","Other, please describe","High School summer academy focused on STEM","Pre-College summer academy focused on STEM ","Pre-College Summer Bridge program","Career services (informational, resource focused)","Career counseling services (individual guidance)","Academic support/coaching services (e.g. study strategies, time management, test preparation)","Study partners (peer tutoring) program","Learning communities","Financial aid or loan options","Supplemental Instruction (SI)/ review sessions","Research internships in STEM","Study abroad programs","Services for students with disabilities","Graduate school career fairs","Project Participation (Check all that apply)","Other, please describe","createdAt","formSubmissionID"
"1","1","1","3","3","5","5","1","4","5","1","5","5","1","","1","1","1","1","1","5","5","1","5","5","1","5","5","1","Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting, Weekly peer meetings","","Wed Jan 25 2023, 1:31:50 PM","Hx1zUrRvKG3hKU9bILsb"
"5","5","5","N/A","N/A","5","5","5","5","5","5","5","5","5","","5","N/A","N/A","N/A","N/A","5","5","5","5","5","5","5","5","5","Weekly peer meetings, Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Fri Sep 16 2022, 2:29:29 PM","IdMvI7AhDRAdBf0XUfzG"
"3","1","1","5","5","5","5","5","5","5","5","5","5","5","","2","2","2","3","1","4","4","4","5","3","4","1","4","3","Weekly peer meetings","","Mon Feb 20 2023, 10:32:08 AM","IoW487UWmeanOtyrpdGT"
"1","1","1","1","1","1","3","3","3","3","5","1","1","1","","1","1","1","1","1","1","5","5","5","5","5","1","1","1","Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Wed Feb 01 2023, 2:19:21 PM","Jlnx8yMhCUcrO9KskJif"
"1","1","1","5","5","3","2","1","2","1","2","1","3","1","","1","1","1","3","5","1","1","1","3","1","2","1","5","1","Weekly peer meetings, Monthly mentoring meetings, TAPDINTO-STEM Orientation meeting","","Mon Feb 06 2023, 12:40:32 AM","KENM1IiqMBsa915N1q0E"
"1","1","2","N/A","N/A","4","2","1","2","1","3","2","2","4","","1","N/A","N/A","N/A","N/A","3","1","1","3","1","1","1","5","3","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings, Weekly peer meetings","","Wed Sep 21 2022, 9:59:12 PM","L68hNQCxqzK4DFmvpUoG"
"3","3","3","4","4","4","4","4","5","5","4","4","3","5","","1","1","1","3","3","4","4","4","5","5","1","1","3","3","Weekly peer meetings, TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Thu Jan 26 2023, 10:25:10 AM","L879PQQEfpzk9mQCJmMP"
"1","1","1","N/A","N/A","3","4","3","5","4","3","3","4","3","","1","N/A","N/A","N/A","N/A","1","2","1","5","3","1","1","5","1","TAPDINTO-STEM Orientation meeting","","Thu Nov 17 2022, 5:00:07 PM","LGrSiZ5HjzfeWRFmYylc"
"4","4","4","5","5","5","5","5","2","1","5","1","5","5","","5","5","5","5","5","5","5","5","3","1","5","1","5","5","TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Wed Feb 01 2023, 2:54:56 PM","LQVA62EiIbpehaNId9Uf"
"1","1","1","N/A","N/A","2","2","1","5","1","1","3","5","3","","1","N/A","N/A","N/A","N/A","2","1","1","5","1","1","1","5","3","TAPDINTO-STEM Orientation meeting","","Wed Dec 07 2022, 6:19:47 PM","N0eiAaDY8ND5L7mI72HD"
"1","1","1","4","4","2","1","1","4","1","3","3","3","1","","3","3","3","4","4","5","3","3","5","3","4","3","5","3","TAPDINTO-STEM Orientation meeting","","Thu Feb 16 2023, 8:45:34 PM","N9zHNk7IxKxYbTnaiTXJ"
"1","1","1","4","4","4","4","5","5","1","2","1","3","1","","1","1","1","4","4","3","4","5","4","2","1","1","5","1","Weekly peer meetings, TAPDINTO-STEM Orientation meeting, Monthly mentoring meetings","","Sun Jan 29 2023, 11:32:54 AM","NK7wLOFJ1XwOtoRHYLTe"
